dog,condition,choice,test_trial_number,latency,"first_trial_fam (1=yes, followed communicator)",first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,parker_group,communicator,hider,ant_look,notes,second_trial_fam_type
Emma10,FalseBelief,empty,9,,1,displacement,blue,4,f,labrador,8,retriever,LL,SV,,,
Travis,TrueBelief,baited,7,,1,no_displacement,blue,5,m,siberian_husky,5,asian_spitz,LL,SV,,,
Magic2,FalseBelief,empty,7,,1,no_displacement,brown,4,m,shetland_sheep_dog,1,uk_rural,LL,SV,,,
Holly6,FalseBelief,baited,7,,1,no_displacement,blue,3,f,beagle,6,scent_hound,LL,GPL,,,
Mozart2,FalseBelief,baited,7,,1,no_displacement,blue,5,m,fox_terrier,3,terrier,LL,GP,,,
Damon,FalseBelief,empty,9,,1,no_displacement,blue,10,m,whippet,10,uk_rural,LL,GPL,,,
Nala9,FalseBelief,baited,7,,1,displacement,blue,5,f,border_collie,1,uk_rural,LL,SV,,,
Bella6,TrueBelief,baited,7,,1,displacement,blue,2,f,australian_shepherd,1,uk_rural,LL,SV,,,
Chelsea,TrueBelief,baited,7,,1,displacement,brown,12,f,labrador,8,retriever,LL,SV,,,
Rhya,TrueBelief,baited,11,,0,displacement,brown,7,f,golden_retriever,8,retriever,LL,SV,,,
Milo6,TrueBelief,baited,7,,1,no_displacement,blue,4,m,golden_retriever,8,retriever,LL,SV,,,
Candy7,FalseBelief,empty,7,,1,displacement,brown,1,f,airedale_terrier,3,terrier,LL,SV,,,
